repeatNo, agentNo, agentID, agentType, agentTypeNo, time, fps, x, y, z, yaw 
1, 1, 88, vehicle.mercedes-benz.coupe, 1, 12.100, 20.000, -26.503, -14.749, 0.129, -0.179
1, 2, 89, vehicle.mercedes-benz.coupe, 1, 12.100, 20.000, -35.059, -6.975, 0.129, 2.786
1, 1, 88, vehicle.mercedes-benz.coupe, 1, 12.200, 20.000, -26.128, -14.829, 0.129, -0.186
1, 2, 89, vehicle.mercedes-benz.coupe, 1, 12.200, 20.000, -35.418, -6.840, 0.129, 2.785
1, 1, 88, vehicle.mercedes-benz.coupe, 1, 12.300, 20.000, -25.754, -14.909, 0.129, -0.193
1, 2, 89, vehicle.mercedes-benz.coupe, 1, 12.300, 20.000, -35.774, -6.697, 0.129, 2.779
1, 1, 88, vehicle.mercedes-benz.coupe, 1, 12.400, 20.000, -25.379, -14.991, 0.129, -0.198
1, 2, 89, vehicle.mercedes-benz.coupe, 1, 12.400, 20.000, -36.121, -6.539, 0.129, 2.763
1, 1, 88, vehicle.mercedes-benz.coupe, 1, 12.500, 20.000, -25.003, -15.064, 0.129, -0.196
1, 2, 89, vehicle.mercedes-benz.coupe, 1, 12.500, 20.000, -36.461, -6.368, 0.129, 2.742
1, 1, 88, vehicle.mercedes-benz.coupe, 1, 12.600, 20.000, -24.624, -15.116, 0.129, -0.180
1, 2, 89, vehicle.mercedes-benz.coupe, 1, 12.600, 20.000, -36.797, -6.188, 0.129, 2.720
1, 1, 88, vehicle.mercedes-benz.coupe, 1, 12.700, 20.000, -24.244, -15.145, 0.129, -0.155
1, 2, 89, vehicle.mercedes-benz.coupe, 1, 12.700, 20.000, -37.130, -6.002, 0.129, 2.699
1, 1, 88, vehicle.mercedes-benz.coupe, 1, 12.800, 20.000, -23.862, -15.161, 0.129, -0.128
1, 2, 89, vehicle.mercedes-benz.coupe, 1, 12.800, 20.000, -37.462, -5.811, 0.129, 2.681
1, 1, 88, vehicle.mercedes-benz.coupe, 1, 12.900, 20.000, -23.480, -15.167, 0.129, -0.102
1, 2, 89, vehicle.mercedes-benz.coupe, 1, 12.900, 20.000, -37.791, -5.618, 0.129, 2.664
1, 1, 88, vehicle.mercedes-benz.coupe, 1, 13.000, 20.000, -23.096, -15.168, 0.129, -0.078
1, 2, 89, vehicle.mercedes-benz.coupe, 1, 13.000, 20.000, -38.120, -5.422, 0.129, 2.650
1, 1, 88, vehicle.mercedes-benz.coupe, 1, 13.100, 20.000, -22.713, -15.163, 0.129, -0.057
1, 2, 89, vehicle.mercedes-benz.coupe, 1, 13.100, 20.000, -38.448, -5.225, 0.129, 2.639
1, 1, 88, vehicle.mercedes-benz.coupe, 1, 13.200, 20.000, -22.329, -15.156, 0.129, -0.039
1, 2, 89, vehicle.mercedes-benz.coupe, 1, 13.200, 20.000, -38.776, -5.026, 0.129, 2.628
1, 1, 88, vehicle.mercedes-benz.coupe, 1, 13.300, 20.000, -21.945, -15.145, 0.129, -0.024
1, 2, 89, vehicle.mercedes-benz.coupe, 1, 13.300, 20.000, -39.103, -4.826, 0.129, 2.620
1, 1, 88, vehicle.mercedes-benz.coupe, 1, 13.400, 20.000, -21.561, -15.133, 0.129, -0.010
1, 2, 89, vehicle.mercedes-benz.coupe, 1, 13.400, 20.000, -39.429, -4.624, 0.129, 2.613
1, 1, 88, vehicle.mercedes-benz.coupe, 1, 13.500, 20.000, -21.177, -15.119, 0.129, 0.001
1, 2, 89, vehicle.mercedes-benz.coupe, 1, 13.500, 20.000, -39.755, -4.423, 0.129, 2.607
1, 1, 88, vehicle.mercedes-benz.coupe, 1, 13.600, 20.000, -20.794, -15.104, 0.129, 0.010
1, 2, 89, vehicle.mercedes-benz.coupe, 1, 13.600, 20.000, -40.080, -4.220, 0.129, 2.602
1, 1, 88, vehicle.mercedes-benz.coupe, 1, 13.700, 20.000, -20.410, -15.083, 0.129, 0.021
1, 2, 89, vehicle.mercedes-benz.coupe, 1, 13.700, 20.000, -40.406, -4.017, 0.129, 2.597
1, 1, 88, vehicle.mercedes-benz.coupe, 1, 13.800, 20.000, -20.036, -15.029, 0.144, 0.052
1, 2, 89, vehicle.mercedes-benz.coupe, 1, 13.800, 20.000, -40.730, -3.813, 0.130, 2.593
1, 1, 88, vehicle.mercedes-benz.coupe, 1, 13.900, 20.000, -19.688, -14.920, 0.145, 0.110
1, 2, 89, vehicle.mercedes-benz.coupe, 1, 13.900, 20.000, -41.055, -3.608, 0.130, 2.590
1, 1, 88, vehicle.mercedes-benz.coupe, 1, 14.000, 20.000, -19.361, -14.768, 0.141, 0.184
1, 2, 89, vehicle.mercedes-benz.coupe, 1, 14.000, 20.000, -41.379, -3.404, 0.130, 2.587
1, 1, 88, vehicle.mercedes-benz.coupe, 1, 14.100, 20.000, -19.043, -14.584, 0.137, 0.261
1, 2, 89, vehicle.mercedes-benz.coupe, 1, 14.100, 20.000, -41.704, -3.199, 0.130, 2.585
1, 1, 88, vehicle.mercedes-benz.coupe, 1, 14.200, 20.000, -18.732, -14.379, 0.134, 0.334
1, 2, 89, vehicle.mercedes-benz.coupe, 1, 14.200, 20.000, -42.028, -2.993, 0.130, 2.583
1, 1, 88, vehicle.mercedes-benz.coupe, 1, 14.300, 20.000, -18.427, -14.158, 0.132, 0.402
1, 2, 89, vehicle.mercedes-benz.coupe, 1, 14.300, 20.000, -42.351, -2.788, 0.130, 2.581
1, 1, 88, vehicle.mercedes-benz.coupe, 1, 14.400, 20.000, -18.128, -13.925, 0.131, 0.462
1, 2, 89, vehicle.mercedes-benz.coupe, 1, 14.400, 20.000, -42.675, -2.582, 0.130, 2.580
1, 1, 88, vehicle.mercedes-benz.coupe, 1, 14.500, 20.000, -17.834, -13.684, 0.130, 0.514
1, 2, 89, vehicle.mercedes-benz.coupe, 1, 14.500, 20.000, -42.999, -2.376, 0.130, 2.578
1, 1, 88, vehicle.mercedes-benz.coupe, 1, 14.600, 20.000, -17.543, -13.435, 0.130, 0.559
1, 2, 89, vehicle.mercedes-benz.coupe, 1, 14.600, 20.000, -43.322, -2.170, 0.130, 2.577
1, 1, 88, vehicle.mercedes-benz.coupe, 1, 14.700, 20.000, -17.254, -13.183, 0.130, 0.596
1, 2, 89, vehicle.mercedes-benz.coupe, 1, 14.700, 20.000, -43.646, -1.964, 0.130, 2.576
1, 1, 88, vehicle.mercedes-benz.coupe, 1, 14.800, 20.000, -16.967, -12.927, 0.129, 0.627
1, 2, 89, vehicle.mercedes-benz.coupe, 1, 14.800, 20.000, -43.969, -1.757, 0.130, 2.575
1, 1, 88, vehicle.mercedes-benz.coupe, 1, 14.900, 20.000, -16.682, -12.669, 0.129, 0.652
1, 2, 89, vehicle.mercedes-benz.coupe, 1, 14.900, 20.000, -44.292, -1.551, 0.130, 2.575
1, 1, 88, vehicle.mercedes-benz.coupe, 1, 15.000, 20.000, -16.397, -12.410, 0.129, 0.672
1, 2, 89, vehicle.mercedes-benz.coupe, 1, 15.000, 20.000, -44.616, -1.344, 0.130, 2.574
1, 1, 88, vehicle.mercedes-benz.coupe, 1, 15.100, 20.000, -16.114, -12.149, 0.129, 0.689
1, 2, 89, vehicle.mercedes-benz.coupe, 1, 15.100, 20.000, -44.939, -1.137, 0.130, 2.574
1, 1, 88, vehicle.mercedes-benz.coupe, 1, 15.200, 20.000, -15.832, -11.888, 0.129, 0.703
1, 2, 89, vehicle.mercedes-benz.coupe, 1, 15.200, 20.000, -45.262, -0.930, 0.130, 2.573
1, 1, 88, vehicle.mercedes-benz.coupe, 1, 15.300, 20.000, -15.551, -11.625, 0.129, 0.714
1, 2, 89, vehicle.mercedes-benz.coupe, 1, 15.300, 20.000, -45.585, -0.724, 0.130, 2.573
1, 1, 88, vehicle.mercedes-benz.coupe, 1, 15.400, 20.000, -15.270, -11.362, 0.129, 0.724
1, 2, 89, vehicle.mercedes-benz.coupe, 1, 15.400, 20.000, -45.908, -0.517, 0.130, 2.572
1, 1, 88, vehicle.mercedes-benz.coupe, 1, 15.500, 20.000, -14.991, -11.098, 0.129, 0.732
1, 2, 89, vehicle.mercedes-benz.coupe, 1, 15.500, 20.000, -46.231, -0.310, 0.130, 2.572
1, 1, 88, vehicle.mercedes-benz.coupe, 1, 15.600, 20.000, -14.712, -10.833, 0.129, 0.738
1, 2, 89, vehicle.mercedes-benz.coupe, 1, 15.600, 20.000, -46.555, -0.103, 0.130, 2.572
1, 1, 88, vehicle.mercedes-benz.coupe, 1, 15.700, 20.000, -14.435, -10.568, 0.129, 0.744
1, 2, 89, vehicle.mercedes-benz.coupe, 1, 15.700, 20.000, -46.878, 0.104, 0.130, 2.572
1, 1, 88, vehicle.mercedes-benz.coupe, 1, 15.800, 20.000, -14.149, -10.312, 0.129, 0.739
1, 2, 89, vehicle.mercedes-benz.coupe, 1, 15.800, 20.000, -47.201, 0.311, 0.130, 2.572
1, 1, 88, vehicle.mercedes-benz.coupe, 1, 15.900, 20.000, -13.848, -10.083, 0.129, 0.717
1, 2, 89, vehicle.mercedes-benz.coupe, 1, 15.900, 20.000, -47.524, 0.518, 0.130, 2.571
1, 1, 88, vehicle.mercedes-benz.coupe, 1, 16.000, 20.000, -13.532, -9.876, 0.129, 0.684
1, 2, 89, vehicle.mercedes-benz.coupe, 1, 16.000, 20.000, -47.847, 0.726, 0.130, 2.571
1, 1, 88, vehicle.mercedes-benz.coupe, 1, 16.100, 20.000, -13.206, -9.685, 0.129, 0.648
1, 2, 89, vehicle.mercedes-benz.coupe, 1, 16.100, 20.000, -48.170, 0.933, 0.130, 2.571
1, 1, 88, vehicle.mercedes-benz.coupe, 1, 16.200, 20.000, -12.874, -9.503, 0.129, 0.614
1, 2, 89, vehicle.mercedes-benz.coupe, 1, 16.200, 20.000, -48.493, 1.140, 0.130, 2.571
1, 1, 88, vehicle.mercedes-benz.coupe, 1, 16.300, 20.000, -12.536, -9.328, 0.129, 0.582
1, 2, 89, vehicle.mercedes-benz.coupe, 1, 16.300, 20.000, -48.816, 1.347, 0.130, 2.571
1, 1, 88, vehicle.mercedes-benz.coupe, 1, 16.400, 20.000, -12.195, -9.158, 0.130, 0.554
1, 2, 89, vehicle.mercedes-benz.coupe, 1, 16.400, 20.000, -49.139, 1.554, 0.129, 2.571
1, 1, 88, vehicle.mercedes-benz.coupe, 1, 16.500, 20.000, -11.852, -8.992, 0.130, 0.530
1, 2, 89, vehicle.mercedes-benz.coupe, 1, 16.500, 20.000, -49.462, 1.761, 0.129, 2.571
1, 1, 88, vehicle.mercedes-benz.coupe, 1, 16.600, 20.000, -11.518, -8.841, 0.147, 0.506
1, 2, 89, vehicle.mercedes-benz.coupe, 1, 16.600, 20.000, -49.785, 1.969, 0.129, 2.571
1, 1, 88, vehicle.mercedes-benz.coupe, 1, 16.700, 20.000, -11.183, -8.687, 0.153, 0.489
1, 2, 89, vehicle.mercedes-benz.coupe, 1, 16.700, 20.000, -50.108, 2.176, 0.129, 2.571
1, 1, 88, vehicle.mercedes-benz.coupe, 1, 16.800, 20.000, -10.842, -8.529, 0.158, 0.476
1, 2, 89, vehicle.mercedes-benz.coupe, 1, 16.800, 20.000, -50.425, 2.379, 0.129, 2.571
1, 1, 88, vehicle.mercedes-benz.coupe, 1, 16.900, 20.000, -10.498, -8.372, 0.161, 0.465
1, 2, 89, vehicle.mercedes-benz.coupe, 1, 16.900, 20.000, -50.707, 2.560, 0.129, 2.570
1, 1, 88, vehicle.mercedes-benz.coupe, 1, 17.000, 20.000, -10.153, -8.216, 0.163, 0.455
1, 2, 89, vehicle.mercedes-benz.coupe, 1, 17.000, 20.000, -50.933, 2.705, 0.128, 2.570
1, 1, 88, vehicle.mercedes-benz.coupe, 1, 17.100, 20.000, -9.807, -8.062, 0.164, 0.447
1, 2, 89, vehicle.mercedes-benz.coupe, 1, 17.100, 20.000, -51.097, 2.811, 0.128, 2.570
1, 1, 88, vehicle.mercedes-benz.coupe, 1, 17.200, 20.000, -9.459, -7.909, 0.165, 0.440
1, 2, 89, vehicle.mercedes-benz.coupe, 1, 17.200, 20.000, -51.200, 2.877, 0.128, 2.569
1, 1, 88, vehicle.mercedes-benz.coupe, 1, 17.300, 20.000, -9.111, -7.756, 0.167, 0.433
1, 2, 89, vehicle.mercedes-benz.coupe, 1, 17.300, 20.000, -51.232, 2.897, 0.128, 2.569
1, 1, 88, vehicle.mercedes-benz.coupe, 1, 17.400, 20.000, -8.774, -7.609, 0.179, 0.427
1, 2, 89, vehicle.mercedes-benz.coupe, 1, 17.400, 20.000, -51.232, 2.897, 0.128, 2.569
1, 1, 88, vehicle.mercedes-benz.coupe, 1, 17.500, 20.000, -8.433, -7.461, 0.188, 0.422
1, 2, 89, vehicle.mercedes-benz.coupe, 1, 17.500, 20.000, -51.232, 2.897, 0.128, 2.569
1, 1, 88, vehicle.mercedes-benz.coupe, 1, 17.600, 20.000, -8.085, -7.311, 0.195, 0.419
1, 2, 89, vehicle.mercedes-benz.coupe, 1, 17.600, 20.000, -51.232, 2.897, 0.129, 2.569
1, 1, 88, vehicle.mercedes-benz.coupe, 1, 17.700, 20.000, -7.736, -7.160, 0.199, 0.416
1, 2, 89, vehicle.mercedes-benz.coupe, 1, 17.700, 20.000, -51.231, 2.897, 0.129, 2.569
1, 1, 88, vehicle.mercedes-benz.coupe, 1, 17.800, 20.000, -7.388, -7.009, 0.201, 0.414
1, 2, 89, vehicle.mercedes-benz.coupe, 1, 17.800, 20.000, -51.231, 2.897, 0.129, 2.569
1, 1, 88, vehicle.mercedes-benz.coupe, 1, 17.900, 20.000, -7.039, -6.857, 0.203, 0.414
1, 2, 89, vehicle.mercedes-benz.coupe, 1, 17.900, 20.000, -51.231, 2.897, 0.129, 2.569
1, 1, 88, vehicle.mercedes-benz.coupe, 1, 18.000, 20.000, -6.690, -6.704, 0.204, 0.414
1, 2, 89, vehicle.mercedes-benz.coupe, 1, 18.000, 20.000, -51.231, 2.897, 0.129, 2.569
1, 1, 88, vehicle.mercedes-benz.coupe, 1, 18.100, 20.000, -6.341, -6.551, 0.204, 0.414
1, 2, 89, vehicle.mercedes-benz.coupe, 1, 18.100, 20.000, -51.231, 2.897, 0.129, 2.569
1, 1, 88, vehicle.mercedes-benz.coupe, 1, 18.200, 20.000, -5.991, -6.397, 0.204, 0.414
1, 2, 89, vehicle.mercedes-benz.coupe, 1, 18.200, 20.000, -51.231, 2.897, 0.129, 2.569
1, 1, 88, vehicle.mercedes-benz.coupe, 1, 18.300, 20.000, -5.641, -6.243, 0.205, 0.414
1, 2, 89, vehicle.mercedes-benz.coupe, 1, 18.300, 20.000, -51.231, 2.897, 0.129, 2.569
1, 1, 88, vehicle.mercedes-benz.coupe, 1, 18.400, 20.000, -5.291, -6.089, 0.205, 0.415
1, 2, 89, vehicle.mercedes-benz.coupe, 1, 18.400, 20.000, -51.231, 2.897, 0.129, 2.569
1, 1, 88, vehicle.mercedes-benz.coupe, 1, 18.500, 20.000, -4.941, -5.935, 0.205, 0.415
1, 2, 89, vehicle.mercedes-benz.coupe, 1, 18.500, 20.000, -51.231, 2.897, 0.129, 2.569
1, 1, 88, vehicle.mercedes-benz.coupe, 1, 18.600, 20.000, -4.590, -5.781, 0.205, 0.415
1, 2, 89, vehicle.mercedes-benz.coupe, 1, 18.600, 20.000, -51.231, 2.897, 0.129, 2.569
1, 1, 88, vehicle.mercedes-benz.coupe, 1, 18.700, 20.000, -4.240, -5.626, 0.205, 0.415
1, 2, 89, vehicle.mercedes-benz.coupe, 1, 18.700, 20.000, -51.231, 2.897, 0.129, 2.569
1, 1, 88, vehicle.mercedes-benz.coupe, 1, 18.800, 20.000, -3.889, -5.472, 0.205, 0.415
1, 2, 89, vehicle.mercedes-benz.coupe, 1, 18.800, 20.000, -51.231, 2.897, 0.129, 2.569
1, 1, 88, vehicle.mercedes-benz.coupe, 1, 18.900, 20.000, -3.538, -5.317, 0.205, 0.415
1, 2, 89, vehicle.mercedes-benz.coupe, 1, 18.900, 20.000, -51.231, 2.897, 0.129, 2.569
1, 1, 88, vehicle.mercedes-benz.coupe, 1, 19.000, 20.000, -3.188, -5.163, 0.205, 0.415
1, 2, 89, vehicle.mercedes-benz.coupe, 1, 19.000, 20.000, -51.231, 2.897, 0.129, 2.569
1, 1, 88, vehicle.mercedes-benz.coupe, 1, 19.100, 20.000, -2.837, -5.008, 0.205, 0.415
1, 2, 89, vehicle.mercedes-benz.coupe, 1, 19.100, 20.000, -51.231, 2.897, 0.129, 2.569
1, 1, 88, vehicle.mercedes-benz.coupe, 1, 19.200, 20.000, -2.486, -4.853, 0.205, 0.415
1, 2, 89, vehicle.mercedes-benz.coupe, 1, 19.200, 20.000, -51.231, 2.897, 0.129, 2.569
1, 1, 88, vehicle.mercedes-benz.coupe, 1, 19.300, 20.000, -2.135, -4.699, 0.205, 0.416
1, 2, 89, vehicle.mercedes-benz.coupe, 1, 19.300, 20.000, -51.231, 2.897, 0.129, 2.569
1, 1, 88, vehicle.mercedes-benz.coupe, 1, 19.400, 20.000, -1.784, -4.544, 0.205, 0.416
1, 2, 89, vehicle.mercedes-benz.coupe, 1, 19.400, 20.000, -51.231, 2.897, 0.129, 2.569
1, 1, 88, vehicle.mercedes-benz.coupe, 1, 19.500, 20.000, -1.433, -4.389, 0.205, 0.416
1, 2, 89, vehicle.mercedes-benz.coupe, 1, 19.500, 20.000, -51.231, 2.897, 0.129, 2.569
1, 1, 88, vehicle.mercedes-benz.coupe, 1, 19.600, 20.000, -1.082, -4.235, 0.205, 0.416
1, 2, 89, vehicle.mercedes-benz.coupe, 1, 19.600, 20.000, -51.231, 2.897, 0.129, 2.569
1, 1, 88, vehicle.mercedes-benz.coupe, 1, 19.700, 20.000, -0.731, -4.080, 0.205, 0.416
1, 2, 89, vehicle.mercedes-benz.coupe, 1, 19.700, 20.000, -51.231, 2.897, 0.129, 2.569
1, 1, 88, vehicle.mercedes-benz.coupe, 1, 19.800, 20.000, -0.380, -3.925, 0.205, 0.416
1, 2, 89, vehicle.mercedes-benz.coupe, 1, 19.800, 20.000, -51.231, 2.897, 0.129, 2.569
1, 1, 88, vehicle.mercedes-benz.coupe, 1, 19.900, 20.000, -0.029, -3.770, 0.205, 0.416
1, 2, 89, vehicle.mercedes-benz.coupe, 1, 19.900, 20.000, -51.231, 2.897, 0.129, 2.569
1, 1, 88, vehicle.mercedes-benz.coupe, 1, 20.000, 20.000, 0.322, -3.616, 0.205, 0.416
1, 2, 89, vehicle.mercedes-benz.coupe, 1, 20.000, 20.000, -51.231, 2.897, 0.129, 2.569
1, 1, 88, vehicle.mercedes-benz.coupe, 1, 20.100, 20.000, 0.673, -3.461, 0.205, 0.416
1, 2, 89, vehicle.mercedes-benz.coupe, 1, 20.100, 20.000, -51.231, 2.897, 0.129, 2.569
1, 1, 88, vehicle.mercedes-benz.coupe, 1, 20.200, 20.000, 1.024, -3.306, 0.205, 0.416
1, 2, 89, vehicle.mercedes-benz.coupe, 1, 20.200, 20.000, -51.231, 2.897, 0.129, 2.569
1, 1, 88, vehicle.mercedes-benz.coupe, 1, 20.300, 20.000, 1.375, -3.151, 0.205, 0.416
1, 2, 89, vehicle.mercedes-benz.coupe, 1, 20.300, 20.000, -51.231, 2.897, 0.129, 2.569
1, 1, 88, vehicle.mercedes-benz.coupe, 1, 20.400, 20.000, 1.727, -2.997, 0.205, 0.416
1, 2, 89, vehicle.mercedes-benz.coupe, 1, 20.400, 20.000, -51.231, 2.897, 0.129, 2.569
1, 1, 88, vehicle.mercedes-benz.coupe, 1, 20.500, 20.000, 2.078, -2.842, 0.205, 0.416
1, 2, 89, vehicle.mercedes-benz.coupe, 1, 20.500, 20.000, -51.231, 2.897, 0.129, 2.569
1, 1, 88, vehicle.mercedes-benz.coupe, 1, 20.600, 20.000, 2.429, -2.687, 0.205, 0.416
1, 2, 89, vehicle.mercedes-benz.coupe, 1, 20.600, 20.000, -51.231, 2.897, 0.129, 2.569
1, 1, 88, vehicle.mercedes-benz.coupe, 1, 20.700, 20.000, 2.780, -2.532, 0.205, 0.416
1, 2, 89, vehicle.mercedes-benz.coupe, 1, 20.700, 20.000, -51.231, 2.897, 0.129, 2.569
1, 1, 88, vehicle.mercedes-benz.coupe, 1, 20.800, 20.000, 3.127, -2.378, 0.188, 0.415
1, 2, 89, vehicle.mercedes-benz.coupe, 1, 20.800, 20.000, -51.231, 2.897, 0.129, 2.569
1, 1, 88, vehicle.mercedes-benz.coupe, 1, 20.900, 20.000, 3.478, -2.230, 0.173, 0.415
1, 2, 89, vehicle.mercedes-benz.coupe, 1, 20.900, 20.000, -51.231, 2.897, 0.129, 2.569
1, 1, 88, vehicle.mercedes-benz.coupe, 1, 21.000, 20.000, 3.828, -2.075, 0.168, 0.416
1, 2, 89, vehicle.mercedes-benz.coupe, 1, 21.000, 20.000, -51.231, 2.897, 0.129, 2.569
1, 1, 88, vehicle.mercedes-benz.coupe, 1, 21.100, 20.000, 4.178, -1.919, 0.167, 0.417
1, 2, 89, vehicle.mercedes-benz.coupe, 1, 21.100, 20.000, -51.231, 2.897, 0.129, 2.569
1, 1, 88, vehicle.mercedes-benz.coupe, 1, 21.200, 20.000, 4.528, -1.763, 0.168, 0.417
1, 2, 89, vehicle.mercedes-benz.coupe, 1, 21.200, 20.000, -51.231, 2.897, 0.129, 2.569
1, 1, 88, vehicle.mercedes-benz.coupe, 1, 21.300, 20.000, 4.879, -1.607, 0.168, 0.417
1, 2, 89, vehicle.mercedes-benz.coupe, 1, 21.300, 20.000, -51.231, 2.897, 0.129, 2.569
1, 1, 88, vehicle.mercedes-benz.coupe, 1, 21.400, 20.000, 5.229, -1.452, 0.169, 0.417
1, 2, 89, vehicle.mercedes-benz.coupe, 1, 21.400, 20.000, -51.231, 2.897, 0.129, 2.569
1, 1, 88, vehicle.mercedes-benz.coupe, 1, 21.500, 20.000, 5.580, -1.297, 0.169, 0.417
1, 2, 89, vehicle.mercedes-benz.coupe, 1, 21.500, 20.000, -51.231, 2.897, 0.129, 2.569
1, 1, 88, vehicle.mercedes-benz.coupe, 1, 21.600, 20.000, 5.931, -1.140, 0.158, 0.416
1, 2, 89, vehicle.mercedes-benz.coupe, 1, 21.600, 20.000, -51.231, 2.897, 0.129, 2.569
1, 1, 88, vehicle.mercedes-benz.coupe, 1, 21.700, 20.000, 6.282, -0.989, 0.137, 0.415
1, 2, 89, vehicle.mercedes-benz.coupe, 1, 21.700, 20.000, -51.231, 2.897, 0.129, 2.569
1, 1, 88, vehicle.mercedes-benz.coupe, 1, 21.800, 20.000, 6.632, -0.836, 0.131, 0.415
1, 2, 89, vehicle.mercedes-benz.coupe, 1, 21.800, 20.000, -51.231, 2.897, 0.129, 2.569
1, 1, 88, vehicle.mercedes-benz.coupe, 1, 21.900, 20.000, 6.983, -0.680, 0.129, 0.416
1, 2, 89, vehicle.mercedes-benz.coupe, 1, 21.900, 20.000, -51.231, 2.897, 0.129, 2.569
1, 1, 88, vehicle.mercedes-benz.coupe, 1, 22.000, 20.000, 7.334, -0.525, 0.129, 0.416
1, 2, 89, vehicle.mercedes-benz.coupe, 1, 22.000, 20.000, -51.231, 2.897, 0.129, 2.569
1, 1, 88, vehicle.mercedes-benz.coupe, 1, 22.100, 20.000, 7.685, -0.369, 0.129, 0.416
1, 2, 89, vehicle.mercedes-benz.coupe, 1, 22.100, 20.000, -51.231, 2.897, 0.129, 2.569
1, 1, 88, vehicle.mercedes-benz.coupe, 1, 22.200, 20.000, 8.035, -0.214, 0.129, 0.416
1, 2, 89, vehicle.mercedes-benz.coupe, 1, 22.200, 20.000, -51.231, 2.897, 0.129, 2.569
1, 1, 88, vehicle.mercedes-benz.coupe, 1, 22.300, 20.000, 8.386, -0.059, 0.130, 0.416
1, 2, 89, vehicle.mercedes-benz.coupe, 1, 22.300, 20.000, -51.231, 2.897, 0.129, 2.569
1, 1, 88, vehicle.mercedes-benz.coupe, 1, 22.400, 20.000, 8.737, 0.096, 0.130, 0.416
1, 2, 89, vehicle.mercedes-benz.coupe, 1, 22.400, 20.000, -51.231, 2.897, 0.129, 2.569
1, 1, 88, vehicle.mercedes-benz.coupe, 1, 22.500, 20.000, 9.088, 0.250, 0.130, 0.415
